T,L,epsilon,delta_tv,N_bound,N_used,target_bit_p,expected_smc_bit_p,observed_expected_output_tv,independent_path_tv,within_delta
3,1.05,0.02499999999999991,0.05,54.068389514932356,55,0.5121951219512195,0.5119735172608579,0.0003322128634659083,0.0003322128634659083,True
5,1.05,0.02499999999999991,0.05,121.19328800604696,122,0.5121951219512195,0.5120952199464157,0.00018709528202831213,0.00018709528202831213,True
8,1.05,0.02499999999999991,0.05,302.43226906583374,303,0.5121951219512195,0.5121548977304378,8.997282183758758e-05,8.997282183758758e-05,True
12,1.05,0.02499999999999991,0.05,820.5256395757752,821,0.5121951219512195,0.5121802767700498,4.1043777586269306e-05,4.1043777586269306e-05,True
