T,epsilon,L,delta_tv,N_bound,N_used,target_bit_p,expected_smc_bit_p,observed_tv,particle_time_units
6,0.08333333333333348,1.1666666666666667,0.1,834.9590575978841,835,0.5384615384615384,0.5384157483207013,9.13672966638187e-05,5010
12,0.04166666666666652,1.0833333333333333,0.1,1434.9028801998707,1435,0.52,0.5199860849708982,3.88624520324701e-05,17220
24,0.02083333333333348,1.0416666666666667,0.1,2638.2875856476435,2639,0.5102040816326531,0.5102002165941799,1.5186575040985613e-05,63336
48,0.010416666666666519,1.0208333333333333,0.1,5047.561783774453,5048,0.5051546391752578,0.5051536181586849,5.6587970992134435e-06,242304
96,0.005208333333333481,1.0104166666666667,0.1,9867.565505888331,9868,0.5025906735751295,0.5025904110493851,2.0550055260422307e-06,947328
