T,L,minimal_bellman_epsilon,declared_bellman_epsilon_upper_bound,xi,delta,delta_tv,M_independently_calibrated,H,repetitions,exact_good_event_probability,observed_good_probability,conditional_weight_TV,simultaneous_TV_radius_999,conditional_TV_upper_999,operation_count_M_times_T_times_H,claimed_complexity_scale,normalized_operation_ratio
3,1.2,0.0,0.08333333333333333,0.08333333333333333,0.02,0.1,64,9,120000,0.9993423648742653,0.99935,0.0012879320632486271,0.006353030876882128,0.007640962940130755,1728,291.8516137262551,5.920817013610188
4,1.2,0.0,0.0625,0.0625,0.02,0.1,128,11,120000,0.9994873641429303,0.9995166666666667,0.0015330414780209672,0.006576000386629309,0.008109041864650276,5632,691.7964177214936,8.141123393714008
6,1.2,0.0,0.041666666666666664,0.041666666666666664,0.02,0.1,256,12,120000,0.9945389433473869,0.9946083333333333,0.004157590722455728,0.007018883487177602,0.01117647420963333,18432,2334.8129098100408,7.894422684813585
8,1.2,0.0,0.03125,0.03125,0.02,0.1,512,13,120000,0.9982182011260788,0.9980416666666667,0.0030128554382971772,0.007408293445399279,0.010421148883696456,53248,5534.371341771949,9.621327647116555
12,1.2,0.0,0.020833333333333332,0.020833333333333332,0.02,0.1,1024,14,120000,0.9881736504688415,0.9884166666666667,0.0031226816065112167,0.008191769438184665,0.011314451044695882,172032,18678.503278480326,9.210159798949181
16,1.2,0.0,0.015625,0.015625,0.02,0.1,2048,15,120000,0.9952718364397932,0.9952833333333333,0.0034737621238720823,0.00884586428153331,0.012319626405405393,491520,44274.97073417559,11.101531900519102
24,1.2,0.0,0.010416666666666666,0.010416666666666666,0.02,0.1,8192,15,120000,0.9999944961799564,1.0,0.004130954975253856,0.010049136528615442,0.014180091503869298,2949120,149428.0262278426,19.73605671203396
