T,L,epsilon,xi,delta,delta_tv,M,H,repetitions,good_runs,observed_good_probability,wilson_999_good_lower,wilson_999_good_upper,exact_good_event_probability,conditional_empirical_tv,simultaneous_tv_radius_999,conditional_tv_upper_999,mean_acceptance_rate,operation_count_M_times_T_times_H,claimed_complexity_scale,normalized_operation_ratio
3,1.1666666666666667,0.08333333333333333,0.08333333333333333,0.02,0.1,719,9,200000,200000,1.0,0.9999458650999088,0.9999999999999999,1.0,0.0025835798816567987,0.005579635454817299,0.008163215336474097,0.997139375,19413,283.7446244560814,68.41715516977058
4,1.125,0.0625,0.0625,0.02,0.1,1284,11,200000,200000,1.0,0.9999458650999088,0.9999999999999999,1.0,0.002531486751834882,0.006707851773843333,0.009239338525678216,0.9981525,56496,648.5591416139001,87.1100203127399
5,1.1,0.05,0.05,0.02,0.1,2010,12,200000,200000,1.0,0.9999458650999088,0.9999999999999999,0.9999999999999933,0.0035956265234380943,0.008527670411211432,0.012123296934649527,0.998669090909091,120600,1238.5678051654343,97.3705270692803
6,1.0833333333333333,0.041666666666666664,0.041666666666666664,0.02,0.1,2887,12,200000,200000,1.0,0.9999458650999088,0.9999999999999999,1.0,0.00722153254400001,0.011321348730917469,0.01854288127491748,0.9989640909090909,207864,2107.8172102451754,98.61576183630356
8,1.0625,0.03125,0.03125,0.02,0.1,5190,13,200000,200000,1.0,0.9999458650999088,0.9999999999999999,0.9999999999999654,0.015243510222045722,0.02146819935988625,0.03671170958193197,0.9993279166666666,539760,4900.224625527247,110.1500525482388
