base_1_plus_epsilon,epsilon,measured_log_linear_slope,expected_2log_base_over_3,absolute_error
1.25,0.25,0.13579833076157966,0.1487623675428065,0.012964036781226845
1.5,0.5,0.2528145846508636,0.2703100720721096,0.017495487421246014
2.0,1.0,0.4539008749465127,0.46209812037329684,0.008197245426784128
3.0,2.0,0.7290903555146685,0.7324081924454066,0.0033178369307380606
