delta,log_1_over_delta,calibrated_sufficient_M,exact_full_good_event_probability
0.2,1.6094379124341003,256,0.8146039860222255
0.1,2.302585092994046,512,0.9983551497907078
0.05,2.995732273553991,512,0.9983551497907078
0.02,3.912023005428146,512,0.9983551497907078
0.01,4.605170185988092,512,0.9983551497907078
